"","accepted_binomial","pf1","a","b","c","Topt","Logit.Max","Model.Max","Topt.upp","Topt.low","Tmax","Tmin","Tbreadth","Toptbreadth","SEmax","SEmin","SEopt.upp","SEopt.low","SEopt","SEbreadth","SEoptbreadth","Family","clade5","Tmean_count","Af1","Af7"
"24","Antennaria dioica",1,-0.241573256295046,7.15477577299248,-45.3045563900852,14.8087083038985,7.67193731093744,0.999534502074261,19.2368009608653,10.3806156469316,21.4379480415055,8.17946856629144,13.2584794752141,8.85618531393369,NA,NA,NA,NA,NA,NA,NA,"Asteraceae","Asterids",3,1,1
"25","Anthemis cretica",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"26","Anthemis maritima",1,-0.42055301849232,14.8323839812494,-128.118211857819,17.6343806001244,2.66174030845119,0.934730921459851,18.820155824269,16.4486053759797,21.2854754385939,13.9832857616548,7.30218967693913,2.37155044828928,NA,NA,NA,NA,NA,NA,NA,"Asteraceae","Asterids",3,1,1
"27","Anthoxanthum odoratum",1,-0.0119768938335546,0.538773384799529,-3.46256012328006,22.4922000765381,2.59653926013226,0.930638519943198,29.3583112019461,15.6260889511301,44.0012447886647,0.983155364411412,43.0180894242533,13.732222250816,NA,NA,NA,NA,NA,NA,NA,"Poaceae","Monocots",15,1,1
"28","Anthyllis circinnata",1,0.998495407209694,0.054617310362447,0.00304361816906136,-0.0273498055013972,0.00229673176135017,0.500574182687938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fabaceae","Rosids",4,0,0
"29","Anthyllis hermanniae",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"30","Anthyllis lotoides",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"31","Anthyllis vulneraria",1,-0.00410328858661206,0.0392890882777779,4.73768899886709,4.78751219277725,4.83173749345357,0.992090403710779,27.0586562808526,-17.4836318952981,48.3203544197337,-38.7453300341792,87.0656844539129,44.5422881761507,13.2061058911807,32.3889038576691,4.30656468007117,22.8834595789311,10.2076087539002,45.0566703821978,25.8382920758633,"Fabaceae","Rosids",15,1,1
"32","Arabis alpina",1,-0.00608016174294721,0.304048261469166,-4.35562022042665,25.0033037214719,-0.55451470667712,0.364817598241884,28.6216983913314,21.3849090516124,44.8292764207773,5.17733102216647,39.6519453986108,7.23678933971896,NA,NA,NA,NA,NA,NA,NA,"Brassicaceae","Rosids",3,1,0
"33","Arbutus andrachne",1,-0.0306156763347277,0.653609974882466,-1.53820694597512,10.6744330541062,1.95025101421433,0.875474009777751,14.0677396206916,7.2811264875207,23.3186129584718,-1.96974685025949,25.2883598087313,6.78661313317093,NA,NA,NA,NA,NA,NA,NA,"Ericaceae","Asterids",5,1,1
"34","Arbutus unedo",1,-0.0178848121297861,0.384764932826796,-0.799084491576611,10.7567507568613,1.27032574962255,0.78079850577608,14.2255224611645,7.28797905255809,26.1080266627021,-4.59452514897957,30.7025518116817,6.93754340860638,1.41821671795547,7.78714468034619,3.07852889997453,7.51244656565459,3.4656488569132,8.78971181926743,9.15344193087454,"Ericaceae","Asterids",8,1,1
"35","Arenaria grandiflora",1,-0.00909405410930526,0.162525465695305,0.264362876898407,8.93580925194874,0.990511156917098,0.729188873587675,13.3550041618093,4.51661434208814,29.7371270784584,-11.865508574561,41.6026356530194,8.83838981972121,NA,NA,NA,NA,NA,NA,NA,"Caryophyllaceae","Caryophyllales",7,1,1
"36","Argyrolobium zanonii",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"37","Armeria caespitosa",1,-0.00814581698010121,0.254517796670835,-0.44071263186532,15.62260711802,1.54740313910096,0.824538347924429,21.2975293937707,9.94768484226931,39.1051388268892,-7.85992459084916,46.9650634177383,11.3498445515014,NA,NA,NA,NA,NA,NA,NA,"Plumbaginaceae","Caryophyllales",3,1,0
"38","Armeria canescens",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"39","Arrhenatherum elatius",1,-0.0113687787502383,0.487824927858466,-2.85206374538401,21.4545879806237,2.38097767155642,0.915365206955183,27.9765207923719,14.9326551688754,43.0977090362677,-0.188533075020334,43.286242111288,13.0438656234965,4.94299640225287,1.62812664593436,3.68864647887999,2.05009642545487,1.87797778035942,6.32936153507428,4.63797522907771,"Poaceae","Monocots",13,1,1
"40","Artemisia arborescens",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"41","Artemisia herba-alba",1,-0.0137696870896898,0.319312884754567,-0.582701801178793,11.5947763618265,1.26847894291066,0.780482256835259,15.5454775968507,7.64407512680243,29.0863733875639,-5.89682066391079,34.9831940514747,7.90140247004822,2.70427136005864,3.25812398519185,1.48360396990344,1.46697637536664,0.772927125737944,5.78508821165466,2.51327186830003,"Asteraceae","Asterids",4,1,1
"42","Arthrocaulon macrostachyum",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"43","Asparagus acutifolius",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"44","Asparagus albus",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"45","Asparagus aphyllus",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"46","Asphodelus fistulosus",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"47","Astragalus monspessulanus",1,0.106528484549144,-1.76450503502471,-7.19217398456545,8.28184613013389,-14.498853582526,5.04925932142833e-07,NA,NA,-2.13271801277435,18.6964102730421,-20.8291282858165,NA,NA,NA,NA,NA,NA,NA,NA,"Fabaceae","Rosids",3,0,0
"48","Atractylis cancellata",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"49","Atriplex halimus",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"50","Atriplex prostrata",1,-0.0167266280808472,0.768945691003558,-6.52231837899517,22.9856755135256,2.31504969147058,0.91011580184108,28.2351224393467,17.7362285877045,40.7180772446253,5.25327378242586,35.4648034621995,10.4988938516421,6.05869776003728,6.60040535893423,2.45235359939116,2.35144766554338,1.6536708472644,12.2314279548664,3.48542386462637,"Amaranthaceae","Caryophyllales",8,1,0
"51","Avena barbata",1,-0.0461160161140617,2.58640952383046,-32.2954765947828,28.0424215031208,3.96911642868706,0.98146010426227,33.4432730227617,22.6415699834799,40.2864641262628,15.7983788799788,24.488085246284,10.8017030392819,NA,NA,NA,NA,NA,NA,NA,"Poaceae","Monocots",3,1,0
"52","Avena sterilis",1,0.901606909020888,-33.126736730718,300.5911501305,18.3709421474445,-3.69353187632242,0.0242797824629614,NA,NA,17.4594367932614,19.2824475016276,-1.82301070836625,NA,0.512109927302406,0.425882743547529,NA,NA,0.113867694990453,0.914003265824121,NA,"Poaceae","Monocots",3,0,0
"53","Avenella flexuosa",1,-0.437996513801457,16.103720428118,-142.299312204814,18.3833888178136,5.72116481691651,0.996734803569991,20.929856232112,15.8369214035151,22.8313817388657,13.9353958967614,8.89598584210426,5.09293482859686,NA,NA,NA,NA,NA,NA,NA,"Poaceae","Monocots",4,1,0
"54","Bellis annua",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
