,Accepted binomial,Family,Clade,Risk category,DormancyShort,Topt,Topt.upp,Topt.low,Toptbreadth,SEopt,SEoptbreadth,Conservation interest,Restoration relevance
43,Echium plantagineum,Boraginaceae,Asterids,Warm-narrow,NoInfo,18.73997676,21.84646854,15.63348497,6.212983565,1.868210193,15.7730346,0,0
44,Eryngium campestre,Apiaceae,Asterids,High,M(P)D,13.93392875,15.80559962,12.06225788,3.743341732,NA,NA,0,1
45,Eryngium maritimum,Apiaceae,Asterids,Warm-narrow,M(P)D,17.53565538,19.46291709,15.60839368,3.854523414,NA,NA,0,0
46,Euphorbia amygdaloides,Euphorbiaceae,Rosids,Warm-narrow,PD,17.40819293,19.27026352,15.54612233,3.724141195,1.001867136,14.50188381,0,0
47,Euphorbia dendroides,Euphorbiaceae,Rosids,Warm-narrow,ND,18.25866745,21.50803375,15.00930116,6.498732594,0.407321262,2.391554285,0,0
48,Euphorbia paralias,Euphorbiaceae,Rosids,Warm-narrow,PD,19.08405944,21.47695154,16.69116735,4.785784193,NA,NA,0,0
49,Euphorbia peplis,Euphorbiaceae,Rosids,Warm-narrow,PD,22.80357167,24.40444018,21.20270317,3.201737012,0.062229484,0.18309946,0,0
50,Euphorbia terracina,Euphorbiaceae,Rosids,Thermally resilient,PD,27.82369669,37.54172553,18.10566785,19.43605768,0.323772228,10.15609105,0,0
51,Festuca fasciculata,Poaceae,Monocots,Cold-wide,PD,14.44945561,22.69892656,6.199984664,16.4989419,0.759196921,5.724949046,0,0
52,Festuca rubra,Poaceae,Monocots,Thermally resilient,PD,18.4465174,24.77293553,12.12009928,12.65283625,NA,NA,0,1
53,Festuca varia,Poaceae,Monocots,High,PD,12.28635435,16.14910946,8.42359924,7.725510222,1.30278983,5.117686553,0,1
54,Ficus carica,Moraceae,Rosids,Warm-narrow,ND,20.42988992,23.65060477,17.20917507,6.441429706,NA,NA,0,0
55,Fumana procumbens,Cistaceae,Rosids,Warm-narrow,PY(PD),20.17057646,23.19260136,17.14855156,6.044049803,0.231625167,0.985182686,0,0
56,Galium aparine,Rubiaceae,Asterids,High,PD,14.80985217,16.46757303,13.15213132,3.315441712,0.585537937,3.443763024,0,0
57,Gentiana acaulis,Gentianaceae,Asterids,High,M(P)D,14.54182675,16.24494057,12.83871293,3.406227641,NA,NA,0,1
58,Geum urbanum,Rosaceae,Rosids,Warm-narrow,PD,19.54199332,22.85901105,16.22497559,6.634035467,NA,NA,0,1
59,Glebionis coronaria,Asteraceae,Asterids,Cold-wide,PD,6.61799585,11.74171002,1.494281676,10.24742835,NA,NA,0,0
60,Globularia cordifolia,Plantaginaceae,Asterids,Thermally resilient,NoInfo,18.48229209,24.55331911,12.41126506,12.14205405,NA,NA,0,1
61,Helianthemum apenninum,Cistaceae,Rosids,Warm-narrow,PY(PD),18.69041224,21.91922171,15.46160277,6.45761894,NA,NA,0,1
62,Helianthemum nummularium,Cistaceae,Rosids,Thermally resilient,PD,17.45562907,26.09967462,8.811583519,17.2880911,1.756197507,6.55446292,0,1
63,Helichrysum italicum,Asteraceae,Asterids,High,PD,15.93669974,18.28350038,13.5898991,4.693601286,1.411656369,78.50681817,0,0
64,Helichrysum stoechas,Asteraceae,Asterids,Warm-narrow,PD,17.60304217,20.86787219,14.33821214,6.529660053,NA,NA,0,0
65,Helictochloa marginata,Poaceae,Monocots,High,NoInfo,11.91930235,15.67546502,8.163139683,7.512325338,NA,NA,0,1
66,Hippocrepis emerus,Fabaceae,Rosids,High,NoInfo,11.79079188,14.01502683,9.566556933,4.448469896,1.177996411,6.467724744,0,0
67,Holcus lanatus,Poaceae,Monocots,Thermally resilient,PD,18.9034513,25.41154906,12.39535354,13.01619552,2.251353413,6.047459467,0,1
68,Hordeum murinum,Poaceae,Monocots,Warm-narrow,PD,18.28329359,21.14012809,15.4264591,5.713668984,0.219101988,0.436466841,0,0
69,Hypericum perforatum,Hypericaceae,Rosids,Warm-narrow,PD,17.86213111,20.66141675,15.06284546,5.59857129,2.314141145,5.314604178,0,1
